#$version=1
# 1 2017-06-05 first versioned file
LOS ANGELES CA WQJX527,15,34,23,10,118,19,46.3,185,96,130,130,52,76
LOS ANGELES CA WQJX528,15,33,57,20,117,53,42.2,185,96,130,130,52,76
LOS ANGELES CA WQJX529,15,34,21,6,117,40,30.2,185,96,130,130,52,76
LOS ANGELES CA WQJX530,15,34,1,5,118,0,49,185,96,130,130,52,76
LOS ANGELES CA WQJX531,15,33,25,33.1,118,28,34.3,185,96,130,130,52,76
LOS ANGELES CA WQJX532,15,34,9,37,117,47,56,185,96,130,130,52,76
LOS ANGELES CA WQJX533,15,33,44,50,118,20,10,185,96,130,130,52,76
LOS ANGELES CA WQJX534,15,33,20,59.8,118,21,9.2,185,96,130,130,52,76
LOS ANGELES CA WQJX535,15,34,5,9,118,47,9,185,96,130,130,52,76
LOS ANGELES CA WQJX536,15,34,0,17,118,21,44.3,185,96,130,130,52,76
LOS ANGELES CA WQJX537,15,33,23,12,118,24,3,185,96,130,130,52,76
LOS ANGELES CA WQJX538,15,33,46,6,118,22,36,185,96,130,130,52,76
LOS ANGELES CA WQJX539,15,34,33,58,118,16,31,185,96,130,130,52,76
LOS ANGELES CA WQJX540,15,34,14,48,118,6,17,185,96,130,130,52,76
LOS ANGELES CA WQJX541,15,34,13,3,118,16,59,185,96,130,130,52,76
LOS ANGELES CA WQJX542,15,34,19,34,118,35,12,185,96,130,130,52,76
LOS ANGELES CA WQJX543,15,34,44,40,118,43,41,185,96,130,130,52,76
LOS ANGELES CA WQJX544,15,34,3,18,118,14,36,185,96,130,130,52,76
LOS ANGELES CA WQJX545,15,34,11,23,118,7,59.3,185,96,130,130,52,76
LOS ANGELES CA WQJX546,15,33,20,38.1,118,19,35.3,185,96,130,130,52,76
LOS ANGELES CA WQJX547,15,34,5,1,118,23,1.3,185,96,130,130,52,76
LOS ANGELES CA WQJX548,15,34,2,12,118,41,22.3,185,96,130,130,52,76
LOS ANGELES CA WQJX549,15,34,3,22,118,10,27,185,96,130,130,52,76
LOS ANGELES CA WQJX550,15,34,6,11,118,4,36,185,96,130,130,52,76
LOS ANGELES CA WQJX551,15,34,41,18,118,8,57,185,96,130,130,52,76
LOS ANGELES CA WQJX552,15,34,19,12,118,33,56,185,96,130,130,52,76
LOS ANGELES CA WQJX553,15,34,16,7,118,14,11.3,185,96,130,130,52,76
LOS ANGELES CA WQJX554,15,34,32,48,118,13,3,185,96,130,130,52,76
LOS ANGELES CA WQJX556,15,34,23,10,118,19,46.3,185,96,130,130,52,76
LOS ANGELES CA WQJX557,15,33,57,20,117,53,42.2,185,96,130,130,52,76
LOS ANGELES CA WQJX500,16,34,13,3,118,16,59.3,185,96,130,130,52,76
MIDDLESEX NJ WQMI704,16,40,30,58.9,74,18,32.9,185,96,130,130,52,76
MIDDLESEX NJ WQMI704,16,40,32,50,74,17,32,185,96,130,130,52,76
MIDDLESEX NJ WQMI704,16,40,35,12,74,14,34,185,96,130,130,52,76
MIDDLESEX NJ WQMI704,16,40,36,1.2,74,18,48.3,185,96,130,130,52,76
MIDDLESEX NJ WIL536,19,40,25,2.4,74,25,5.5,185,96,130,130,52,76
MIDDLESEX NJ WIL536,19,40,25,26,74,22,32,185,96,130,130,52,76
MIDDLESEX NJ WIL536,19,40,27,37,74,23,56,185,96,130,130,52,76
MIDDLESEX NJ WIL720,19,40,34,55.4,74,24,47.5,185,96,130,130,52,76
MIDDLESEX NJ WIL720,19,40,35,2.4,74,25,2.5,185,96,130,130,52,76
MIDDLESEX NJ WIM222,19,40,30,25.4,74,15,50.5,185,96,130,130,52,76
MIDDLESEX NJ WPGX713,19,40,27,17.4,74,18,36.5,185,96,130,130,52,76
MIDDLESEX NJ WPGX713,19,40,28,48.4,74,18,30.5,185,96,130,130,52,76
MIDDLESEX NJ WQPX974,19,40,30,58.9,74,18,32.9,185,96,130,130,52,76
MIDDLESEX NJ WQPX974,19,40,32,50,74,17,32,185,96,130,130,52,76
MIDDLESEX NJ WQPX974,19,40,35,12,74,14,34,185,96,130,130,52,76
MIDDLESEX NJ WQPX974,19,40,36,1.2,74,18,48.3,185,96,130,130,52,76
MIDDLESEX NJ WQIR767,20,40,29,43,74,26,59,185,96,130,130,52,76
MIDDLESEX NJ WQJS363,20,40,30,58.9,74,18,32.9,185,96,130,130,52,76
MIDDLESEX NJ WQJS363,20,40,32,50,74,17,32,185,96,130,130,52,76
MIDDLESEX NJ WQJS363,20,40,33,43.2,74,19,32.7,185,96,130,130,52,76
MIDDLESEX NJ WQJS363,20,40,33,57.4,74,15,8.3,185,96,130,130,52,76
MIDDLESEX NJ WQJS363,20,40,34,49.4,74,17,3.7,185,96,130,130,52,76
MIDDLESEX NJ WQJS363,20,40,36,1.2,74,18,48.3,185,96,130,130,52,76
MIDDLESEX NJ WQJS365,20,40,31,59.8,74,18,25.1,185,96,130,130,52,76
MIDDLESEX NJ WQJS365,20,40,35,12,74,14,34,185,96,130,130,52,76
MONMOUTH NJ WQGU308,14,40,17,46.4,74,20,33.5,185,96,130,130,52,76
MONMOUTH NJ WQGU308,15,40,17,46.4,74,20,33.5,185,96,130,130,52,76
MONMOUTH NJ WIJ783,19,40,12,13.4,74,16,13.5,185,96,130,130,52,76
MONMOUTH NJ WIJ783,19,40,23,45.4,74,10,28.5,185,96,130,130,52,76
MONMOUTH NJ WIL678,19,40,15,51.4,74,16,40.5,185,96,130,130,52,76
MONMOUTH NJ WIL678,19,40,15,51.4,74,16,41.5,185,96,130,130,52,76
MONMOUTH NJ WIM583,19,40,19,37.4,74,15,57.5,185,96,130,130,52,76
MONMOUTH NJ WIM583,19,40,19,41.5,74,16,15.2,185,96,130,130,52,76
MONMOUTH NJ WIM583,19,40,19,54.4,74,13,47.5,185,96,130,130,52,76
MONMOUTH NJ WPMW554,19,40,13,32.4,74,3,17.5,185,96,130,130,52,76
MONMOUTH NJ WPMW554,19,40,23,47.1,73,58,41.2,185,96,130,130,52,76
MONMOUTH NJ WQGU308,19,40,17,46.4,74,20,33.5,185,96,130,130,52,76
MONMOUTH NJ WQLZ558,19,40,8,15,74,7,53,185,96,130,130,52,76
MONMOUTH NJ WQLZ558,19,40,15,51.3,74,14,44.5,185,96,130,130,52,76
MONMOUTH NJ WQLZ558,19,40,23,33,73,59,12.5,185,96,130,130,52,76
MONMOUTH NJ WQLZ558,19,40,26,33.5,74,10,51.4,185,96,130,130,52,76
MONMOUTH NJ WIJ783,20,40,12,13.4,74,16,13.5,185,96,130,130,52,76
MONMOUTH NJ WIJ783,20,40,23,45.4,74,10,28.5,185,96,130,130,52,76
MONMOUTH NJ WPMW554,20,40,13,32.4,74,3,17.5,185,96,130,130,52,76
MONMOUTH NJ WQGU308,20,40,12,2,74,25,28,185,96,130,130,52,76
MORRIS NJ WQAM754,19,40,49,36.6,74,24,13,185,96,130,130,52,76
MORRIS NJ WQAM754,19,40,49,53.7,74,25,59.1,185,96,130,130,52,76
NASSAU NY WPVS875,19,40,41,25,73,42,10,185,96,130,130,52,76
NASSAU NY WPVS875,19,40,43,34.4,73,33,15,185,96,130,130,52,76
NASSAU NY WPVS875,19,40,47,50,73,37,47.3,185,96,130,130,52,76
NASSAU NY WPVS875,19,40,49,19,73,28,46,185,96,130,130,52,76
NASSAU NY WPYR980,19,40,44,59,73,38,17,185,96,130,130,52,76
NASSAU NY WQEH796,19,40,47,44,73,27,40,185,96,130,130,52,76
NASSAU NY WQEH959,19,40,47,44,73,27,40,185,96,130,130,52,76
NASSAU NY WQKU273,19,40,39,5.4,73,36,43.5,185,96,130,130,52,76
OCEAN NJ WPSS243,14,39,59,14.4,74,11,5.5,185,96,130,130,52,76
OCEAN NJ WPSS243,14,40,0,55.4,74,11,2.5,185,96,130,130,52,76
OCEAN NJ WIL552,15,39,36,7.4,74,20,41.5,185,96,130,130,52,76
OCEAN NJ WIL552,15,39,51,30.4,74,16,58.5,185,96,130,130,52,76
OCEAN NJ WIL552,15,39,58,25,74,11,42,185,96,130,130,52,76
OCEAN NJ WIL552,15,40,4,58.4,74,28,58.5,185,96,130,130,52,76
OCEAN NJ WIL552,15,40,6,7.9,74,9,38.7,185,96,130,130,52,76
OCEAN NJ WPXC650,15,39,45,38,74,15,37,185,96,130,130,52,76
OCEAN NJ WPXC650,15,39,54,6,74,24,24,185,96,130,130,52,76
OCEAN NJ WPXC650,15,40,6,37,74,21,11,185,96,130,130,52,76
OCEAN NJ WIL552,20,39,36,7.4,74,20,41.5,185,96,130,130,52,76
OCEAN NJ WIL552,20,39,45,20.4,74,13,52.5,185,96,130,130,52,76
OCEAN NJ WIL552,20,39,51,30.4,74,16,58.5,185,96,130,130,52,76
OCEAN NJ WIL552,20,39,57,10.4,74,11,38.5,185,96,130,130,52,76
OCEAN NJ WIL552,20,39,58,25,74,11,42,185,96,130,130,52,76
